name,category,address_full,website,phone_number,rating,reviews_count,hours,longitude,latitude,url
Warteg new bahari penjaringan,Warung tegal,"Spbu 33-14402 Muara Baru, Jl. Muara Baru No.22, RT.16/RW.17, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0822-1038-0971,"4,5",Unknown,"Kamis,08.00 hingga 22.00",106.8041307,-6.1218447,https://www.google.com/maps/place/Warteg+new+bahari+penjaringan/data=!4m7!3m6!1s0x2e6a1dc25dd0a08f:0xb5c182c2ecf1572d!8m2!3d-6.1218447!4d106.8041307!16s%2Fg%2F11bzrh9r3j!19sChIJj6DQXcIdai4RLVfx7MKCwbU?authuser=0&hl=id&rclk=1
Selera Bahari Bandengan - Penjaringan,Restoran Indonesia,"VQ7W+FM4 indah, Jl. Bandengan Utara Raya, RT.7/RW.16, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0878-2066-1063,"5,0",Unknown,"Kamis,08.00 hingga 19.30",106.7966915,-6.136365,https://www.google.com/maps/place/Selera+Bahari+Bandengan+-+Penjaringan/data=!4m7!3m6!1s0x2e6a1dd832fcc6cd:0xedf24da3c415c1c2!8m2!3d-6.136365!4d106.7966915!16s%2Fg%2F11tj0vtnc_!19sChIJzcb8Mtgdai4RwsEVxKNN8u0?authuser=0&hl=id&rclk=1
74 Cafe,Kafe,"VRX2+9C7, RT.20/RW.17, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0838-9789-2241,"4,3",6,"Kamis,Buka 24 jam",106.8010411,-6.1015768,https://www.google.com/maps/place/74+Cafe/data=!4m7!3m6!1s0x2e6a1d9001a60d97:0xefd90bdf24a4d50d!8m2!3d-6.1015768!4d106.8010411!16s%2Fg%2F11gjw065y0!19sChIJlw2mAZAdai4RDdWkJN8L2e8?authuser=0&hl=id&rclk=1
One Dim Sum,Restoran Dim Sum,"Jl. Pluit Karang Utara No.149, RT.20/RW.2, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",Unknown,(021) 66600810,"4,4",Unknown,"Kamis,07.00 hingga 03.00",106.7768094,-6.1111953,https://www.google.com/maps/place/One+Dim+Sum/data=!4m7!3m6!1s0x2e6a1d298a6df05f:0x65873214aee6f948!8m2!3d-6.1111953!4d106.7768094!16s%2Fg%2F11f5tvtzcc!19sChIJX_Btiikdai4RSPnmrhQyh2U?authuser=0&hl=id&rclk=1
Warkem penjaringan,Restoran,"Jl. Rw. Bebek No.14, RT.14, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0852-8182-3190,"5,0",Unknown,Unknown,106.8016061,-6.132558,https://www.google.com/maps/place/Warkem+penjaringan/data=!4m7!3m6!1s0x2e6a1d0602d47a23:0xb55f8ad453da862b!8m2!3d-6.132558!4d106.8016061!16s%2Fg%2F11j8_9phmx!19sChIJI3rUAgYdai4RK4baU9SKX7U?authuser=0&hl=id&rclk=1
KAFE DEKET RUMAH,Kafe,"Jl. Kapuk Raya No.28, RT.5/RW.2, Pagar Hijau, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460",Unknown,0858-8380-2280,"4,9",Unknown,Unknown,106.770447,-6.140833,https://www.google.com/maps/place/KAFE+DEKET+RUMAH/data=!4m7!3m6!1s0x2e6a1d317cea8b8f:0x896baabb2de5b19a!8m2!3d-6.140833!4d106.770447!16s%2Fg%2F11s22yc6bc!19sChIJj4vqfDEdai4RmrHlLbuqa4k?authuser=0&hl=id&rclk=1
Jakarta Ceria Coffee,Unknown,"VQFX+G38, Unnamed Road, RT.3/RW.8, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,Unknown,Unknown,Unknown,Unknown,106.797691,-6.1262078,https://www.google.com/maps/place/Jakarta+Ceria+Coffee/data=!4m7!3m6!1s0x2e6a1ded876fbf9d:0x57e465371a51813a!8m2!3d-6.1262078!4d106.797691!16s%2Fg%2F11f2w9myyd!19sChIJnb9vh-0dai4ROoFRGjdl5Fc?authuser=0&hl=id&rclk=1
Kobbok Penjaringan,Restoran,"Jl. Kp. Baru No.7, RT.7/RW.15, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,Unknown,"5,0",Unknown,"Kamis,10.00 hingga 21.00",106.7975007,-6.1347851,https://www.google.com/maps/place/Kobbok+Penjaringan/data=!4m7!3m6!1s0x2e6a1d80d1ef30a7:0x2b9f51dcff54d107!8m2!3d-6.1347851!4d106.7975007!16s%2Fg%2F11lkdxg6y8!19sChIJpzDv0YAdai4RB9FU_9xRnys?authuser=0&hl=id&rclk=1
War ton (Warung Tonah) Rt005/011 No.9 Penjaringan Jakarta Utara,Kedai Kopi,"Jl. Tanah Pasir Dalam No.9, RT.4/RW.11, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0838-9992-8771,"4,3",8,"Kamis,Buka 24 jam",106.8008159,-6.1307274,https://www.google.com/maps/place/War+ton+%28Warung+Tonah%29+Rt005%2F011+No.9+Penjaringan+Jakarta+Utara/data=!4m7!3m6!1s0x2e6a1d180948a85b:0x3702a66ba3b67df4!8m2!3d-6.1307274!4d106.8008159!16s%2Fg%2F11sg_8jls9!19sChIJW6hICRgdai4R9H22o2umAjc?authuser=0&hl=id&rclk=1
EatCoast Cafe,Restoran Seafood,"Jl. Muara Karang Elok Blok A8 No. 73, Pluit, Penjaringan, RT.13/RW.17, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",Unknown,(021) 22664961,"4,2",Unknown,"Kamis,17.00 hingga 01.00",106.7813407,-6.1173004,https://www.google.com/maps/place/EatCoast+Cafe/data=!4m7!3m6!1s0x2e6a1d98118c14fd:0x7bff76a9edf49309!8m2!3d-6.1173004!4d106.7813407!16s%2Fg%2F11dxrvzxq0!19sChIJ_RSMEZgdai4RCZP07al2_3s?authuser=0&hl=id&rclk=1
SEBLAK CIHUY PENJARINGAN,Toko Makanan,"Jl.luar batang 2.14-19 penjaringan rt.08/01, RT.6/RW.1, Penjaringan, Kecamatan Penjaringan, Jakarta, Daerah Khusus Ibukota Jakarta 14440",Unknown,0815-8528-9004,"4,6",Unknown,"Kamis,11.00 hingga 21.00",106.8061255,-6.1256615,https://www.google.com/maps/place/SEBLAK+CIHUY+PENJARINGAN/data=!4m7!3m6!1s0x2e6a1d92abe2172b:0xeaf081c17d5b2fb7!8m2!3d-6.1256615!4d106.8061255!16s%2Fg%2F11svfchzd4!19sChIJKxfiq5Idai4Rty9bfcGB8Oo?authuser=0&hl=id&rclk=1
Kopi dan Cerita,Kafe,"Jl. Budi Mulia Utara, RT.11/RW.11, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",Unknown,0851-0228-0333,"4,7",Unknown,"Kamis,10.30 hingga 20.00",106.8394415,-6.1298154,https://www.google.com/maps/place/Kopi+dan+Cerita/data=!4m7!3m6!1s0x2e6a1fc9ee073993:0xd016faffaf66f0d5!8m2!3d-6.1298154!4d106.8394415!16s%2Fg%2F11fm41_l50!19sChIJkzkH7skfai4R1fBmr__6FtA?authuser=0&hl=id&rclk=1
"Bakmie Kenken89,penjaringan",Restoran Mie,"Jl. Pluit Mas II blok a, RT.1/RW.18, Pejagalan, Penjaringan, Jakarta, 11450",Unknown,Unknown,"4,8",Unknown,"Kamis,07.00 hingga 15.00",106.7901355,-6.1335726,"https://www.google.com/maps/place/Bakmie+Kenken89,penjaringan/data=!4m7!3m6!1s0x2e69f7b1e98997b5:0xeed78d235ca8398f!8m2!3d-6.1335726!4d106.7901355!16s%2Fg%2F11sy1k_2g6!19sChIJtZeJ6bH3aS4RjzmoXCON1-4?authuser=0&hl=id&rclk=1"
Allin Fried Chicken - Penjaringan,Restoran Hidangan Ayam,"Jl. Rw. Bebek No.14, RT.14/RW.11, Penjaringan, Kecamatan Penjaringan, Jakarta, Daerah Khusus Ibukota Jakarta 14440",Unknown,0857-8000-8803,"5,0",Unknown,"Kamis,10.00 hingga 23.00",106.7996124,-6.1319716,https://www.google.com/maps/place/Allin+Fried+Chicken+-+Penjaringan/data=!4m7!3m6!1s0x2e6a1d2e866c98cf:0x518289a1e760fbc!8m2!3d-6.1319716!4d106.7996124!16s%2Fg%2F11rpf7p42x!19sChIJz5hshi4dai4RvA92HpooGAU?authuser=0&hl=id&rclk=1
Kedai kopi asmo,Kedai Kopi,"Jl. Rw. Bebek Selatan No.5 3, RT.3/RW.13, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,0882-9224-7105,"3,8",Unknown,"Kamis,09.00 hingga 23.00",106.8043995,-6.1322783,https://www.google.com/maps/place/Kedai+kopi+asmo/data=!4m7!3m6!1s0x2e6a1ddb3006a923:0x3cfc9436474fcf21!8m2!3d-6.1322783!4d106.8043995!16s%2Fg%2F11jpcg9kyg!19sChIJI6kGMNsdai4RIc9PRzaU_Dw?authuser=0&hl=id&rclk=1
101+ Juice PIK,Kedai Jus,"Jl. Pantai Indah Utara 2 No.2 2, RT.2/RW.7, Kapuk Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460",Unknown,0812-9153-8898,"4,7",Unknown,"Kamis,08.00 hingga 21.00",106.7579942,-6.1165523,https://www.google.com/maps/place/101%2B+Juice+PIK/data=!4m7!3m6!1s0x2e6a1d91fe99988f:0xe9891c5837d957a5!8m2!3d-6.1165523!4d106.7579942!16s%2Fg%2F11fn09frx4!19sChIJj5iZ_pEdai4RpVfZN1gciek?authuser=0&hl=id&rclk=1
Shu Guo Yin Xiang PIK,Restoran Hot Pot,"Ruko Crown Golf Jl. Pantai Indah Kapuk, RT.6/RW.2, Kamal Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470",Unknown,(021) 22572538,"4,5",Unknown,"Kamis,11.00 hingga 22.00",106.738737,-6.1108189,https://www.google.com/maps/place/Shu+Guo+Yin+Xiang+PIK/data=!4m7!3m6!1s0x2e6a1dad5eba2861:0x781ea38180cca5bb!8m2!3d-6.1108189!4d106.738737!16s%2Fg%2F11fhsvyfyq!19sChIJYSi6Xq0dai4Ru6XMgIGjHng?authuser=0&hl=id&rclk=1
MVP Sports Bar & Grill,Bar Olahraga,"Tematik Hotel Lt. 1, Jl. Jembatan Tiga No. 35, Penjaringan, RT.1/RW.16, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",Unknown,(021) 66690366,"4,4",Unknown,"Kamis,10.00 hingga 02.00",106.793037,-6.131797,https://www.google.com/maps/place/MVP+Sports+Bar+%26+Grill/data=!4m7!3m6!1s0x2e6a1d8b6829adb3:0x8ef661fcf7aee72!8m2!3d-6.131797!4d106.793037!16s%2Fg%2F11c1l9nfnl!19sChIJs60paIsdai4Rcu56zx9m7wg?authuser=0&hl=id&rclk=1
Cafe ten fingers,Restoran,"Jl. Jemb. 3 Raya No.11 K 2, RT.2/RW.16, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",Unknown,Unknown,"2,0",Unknown,"Kamis,08.00 hingga 17.00",106.7930669,-6.1339401,https://www.google.com/maps/place/Cafe+ten+fingers/data=!4m7!3m6!1s0x2e6a1d8df0f78cdd:0xe401c3a9c499b795!8m2!3d-6.1339401!4d106.7930669!16s%2Fg%2F11h3qsnxw_!19sChIJ3Yz38I0dai4RlbeZxKnDAeQ?authuser=0&hl=id&rclk=1
